,timesteps,full_model,laterality_Right_clinical=0,laterality_Right_clinical=1,neoplasm_histologic_grade_G2_clinical=0,neoplasm_histologic_grade_G2_clinical=1,hemoglobin_result_Normal_clinical=0,hemoglobin_result_Normal_clinical=1,white_cell_count_result_Normal_clinical=0,white_cell_count_result_Normal_clinical=1
0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,15.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,29.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,62.0,0.9905807492895792,0.9905807492895792,0.9905807492895792,0.9904891955143261,0.9906833252377492,0.9902887541635629,0.9910281502977855,0.9906067207098994,0.990551093958588
6,91.0,0.9818895490998049,0.9818842899680394,0.9819000673633351,0.9814700285364939,0.9823944631477181,0.9815425008609034,0.9823733033130391,0.9819438657852436,0.9817914460649554
7,127.0,0.9772405551842024,0.9771063461870416,0.9773567433802102,0.9766253178092821,0.9779822208877398,0.9769971596513634,0.9775487500170579,0.9775094519045541,0.9769925544217958
8,162.0,0.9728082118266645,0.9726410137302499,0.9729588234305895,0.972295049418277,0.9734053600664064,0.9725992397017438,0.9730690744736332,0.9733391511150474,0.9723910104522864
9,186.0,0.9678489582568696,0.9676487710612005,0.9680339932687116,0.9675489088045073,0.9681850047744899,0.9678104689289369,0.9679113386631872,0.9685341071438275,0.9673158048895014
10,205.0,0.9678489582568696,0.9676487710612005,0.9680339932687116,0.9675489088045073,0.9681850047744899,0.9678104689289369,0.9679113386631872,0.9685341071438275,0.9673158048895014
11,222.0,0.9581320160339204,0.9581707115399266,0.9581354466040591,0.9575034081874112,0.9589082475600174,0.9580436583760346,0.9582426740937608,0.9589609843645475,0.957484702990334
12,248.0,0.9476078508277493,0.9475911789726202,0.9476442353425181,0.946507404058741,0.9489244194735101,0.9474689761249941,0.9477869292278467,0.9485298211347785,0.9468868371088396
13,291.0,0.9476078508277493,0.9475911789726202,0.9476442353425181,0.946507404058741,0.9489244194735101,0.9474689761249941,0.9477869292278467,0.9485298211347785,0.9468868371088396
14,329.0,0.9373118062755373,0.9372509577135815,0.9373843353686199,0.9357825027856602,0.9392604496845993,0.936978078698212,0.9377744659709536,0.9386032661763655,0.9362999438872596
15,355.0,0.9270868866964865,0.9270692880572988,0.9271334658359072,0.9253682747188353,0.9292771043574326,0.9264620611952281,0.9279561418921484,0.9289028996893617,0.9256595266934056
16,373.0,0.9211302281902336,0.9211751016617102,0.9211210286594188,0.9196402984629514,0.9230336164824234,0.9203203959269084,0.9221892411181232,0.9228829445181878,0.9197377904850403
17,408.0,0.9211302281902336,0.9211751016617102,0.9211210286594188,0.9196402984629514,0.9230336164824234,0.9203203959269084,0.9221892411181232,0.9228829445181878,0.9197377904850403
18,459.0,0.9041346349535155,0.9040908503739852,0.9041999986328054,0.9026062199062792,0.9060599644004872,0.9031092705459618,0.9054467593594338,0.9065014232263123,0.9022897597376907
19,551.0,0.8927800408700751,0.8926248656866517,0.8929181337201968,0.8908357135383336,0.8952213494762832,0.8913825542887901,0.894481447917044,0.8955377905724404,0.8905661310103961
20,563.0,0.8755490396849956,0.8754684746205655,0.8756368549325717,0.872823072509237,0.8790361333849348,0.8740369102041688,0.877400278754856,0.8791969617334043,0.872677150570887
21,637.0,0.8582585497771178,0.8579335187536128,0.8585615830396104,0.8551775640247349,0.8623459310954376,0.8568036004052748,0.8600510398601957,0.8622259070011494,0.8551910729391686
22,693.0,0.8456282368397234,0.8453418521057505,0.8458979543353778,0.842203595394582,0.8502219100738985,0.8439764950957106,0.847643977568086,0.8495926551943288,0.8425751052785604
23,723.0,0.8331654810891708,0.8329142369174459,0.8334134449034327,0.8295962925478072,0.8380007761759564,0.8311813617189183,0.8355731808305626,0.8378424295708601,0.8296008426888344
24,774.0,0.8143253752793677,0.8141088868349277,0.8145357562585187,0.8107340397674735,0.8192668371629562,0.8122051635875984,0.816901347028748,0.8192568723049029,0.8106334932071989
25,881.0,0.7945575440038518,0.7944299026521567,0.7947044887342372,0.7902348213971632,0.800405782588055,0.7919663012592831,0.7977822010389929,0.7999798325930709,0.790538071921037
26,932.0,0.7813607193500347,0.7812216489866664,0.781518274016393,0.7766165055286072,0.7877751773453874,0.7785513367061171,0.7847947324688483,0.7871630953968128,0.7771293120107678
27,967.0,0.7684980633561612,0.7682676813175204,0.7687425729852274,0.7642345627328017,0.7741524215946323,0.7657261876479908,0.7718930003191505,0.7738851407477396,0.7646017648996644
28,1042.0,0.7684980633561612,0.7682676813175204,0.7687425729852274,0.7642345627328017,0.7741524215946323,0.7657261876479908,0.7718930003191505,0.7738851407477396,0.7646017648996644
29,1102.0,0.7549813794607245,0.7547509974220837,0.7552258890897908,0.750185853640045,0.7613915395944069,0.7521874065454949,0.7584520982592143,0.7600741345019549,0.7512986979020739
30,1132.0,0.7549813794607245,0.7547509974220837,0.7552258890897908,0.750185853640045,0.7613915395944069,0.7521874065454949,0.7584520982592143,0.7600741345019549,0.7512986979020739
31,1165.0,0.7549813794607245,0.7547509974220837,0.7552258890897908,0.750185853640045,0.7613915395944069,0.7521874065454949,0.7584520982592143,0.7600741345019549,0.7512986979020739
32,1329.0,0.7470286708221122,0.74674880513459,0.7473248155630543,0.7420444045501717,0.7537407444125329,0.7443721878015263,0.7503485264275699,0.7523281820262048,0.7431756751081958
33,1398.0,0.7470286708221122,0.74674880513459,0.7473248155630543,0.7420444045501717,0.7537407444125329,0.7443721878015263,0.7503485264275699,0.7523281820262048,0.7431756751081958
34,1463.0,0.7367309378158766,0.7365385330832853,0.7369489924184879,0.7322311467932058,0.7428361147396912,0.7337687531578604,0.7404838825425217,0.7419626221569613,0.7329636181394436
35,1496.0,0.7367309378158766,0.7365385330832853,0.7369489924184879,0.7322311467932058,0.7428361147396912,0.7337687531578604,0.7404838825425217,0.7419626221569613,0.7329636181394436
36,1528.0,0.7367309378158766,0.7365385330832853,0.7369489924184879,0.7322311467932058,0.7428361147396912,0.7337687531578604,0.7404838825425217,0.7419626221569613,0.7329636181394436
37,1558.0,0.7367309378158766,0.7365385330832853,0.7369489924184879,0.7322311467932058,0.7428361147396912,0.7337687531578604,0.7404838825425217,0.7419626221569613,0.7329636181394436
38,1598.0,0.7046949033044877,0.7044949475912015,0.7049215168721519,0.7008420797698077,0.7100469940611773,0.701439504312897,0.7087024351511407,0.709201347128648,0.7015011704241086
39,1629.0,0.6710336928794762,0.6709718424368745,0.6712006711094481,0.6657692254007707,0.6782808276000373,0.6669965274177108,0.6761056415440957,0.6755347350384723,0.6678845500386439
40,1714.0,0.6598170622292139,0.6596578431453805,0.6600694515479855,0.6543555149988685,0.6673042537926147,0.6555122333793011,0.6651542956920955,0.6643181043882093,0.6566679193883818
41,1768.0,0.6495598957685845,0.6495590477254752,0.649680164668205,0.6439718131317608,0.6572223001418532,0.6451077584561944,0.655043078176229,0.6541292110199497,0.6463806324458242
42,1852.0,0.6495598957685845,0.6495590477254752,0.649680164668205,0.6439718131317608,0.6572223001418532,0.6451077584561944,0.655043078176229,0.6541292110199497,0.6463806324458242
43,1883.0,0.6495598957685845,0.6495590477254752,0.649680164668205,0.6439718131317608,0.6572223001418532,0.6451077584561944,0.655043078176229,0.6541292110199497,0.6463806324458242
44,1913.0,0.6176030484121109,0.6178687416472363,0.6175001498578768,0.6105663094454272,0.6272232147292888,0.6113306291000032,0.6251997779191093,0.6228792540592597,0.6136665774095369
45,2038.0,0.6005103184171549,0.6007760116522803,0.6004074198629208,0.5927988727682316,0.611183178405095,0.5938142849203623,0.6087513315445104,0.606572036046263,0.5961934574041224
46,2231.0,0.5622766240848234,0.562728814299932,0.5620156228818989,0.5548606293727364,0.5724298116266654,0.5569320898993689,0.5687897328095758,0.5695257158159571,0.5571121064238721
47,2358.0,0.5424845326788441,0.5427717965217977,0.5423584712349561,0.5343399490924914,0.5536913501664652,0.5365663179992908,0.5498421292450725,0.5500587265576994,0.5370997461161998
48,2438.0,0.5424845326788441,0.5427717965217977,0.5423584712349561,0.5343399490924914,0.5536913501664652,0.5365663179992908,0.5498421292450725,0.5500587265576994,0.5370997461161998
49,2575.0,0.5424845326788441,0.5427717965217977,0.5423584712349561,0.5343399490924914,0.5536913501664652,0.5365663179992908,0.5498421292450725,0.5500587265576994,0.5370997461161998
