,timesteps,full_model,laterality_Right_clinical=0,laterality_Right_clinical=1,gender_MALE_clinical=0,gender_MALE_clinical=1,histological_type_Oligodendroglioma_clinical=0,histological_type_Oligodendroglioma_clinical=1,tumor_location_Supratentorial..Temporal.Lobe_clinical=0,tumor_location_Supratentorial..Temporal.Lobe_clinical=1
0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,7.0,0.9975145078379275,0.997551717644827,0.9974725790030393,0.9975535373927212,0.9974747904059229,0.9975145078379275,0.9975145078379275,0.9974950738113335,0.997559399302867
3,18.0,0.9975145078379275,0.997551717644827,0.9974725790030393,0.9975535373927212,0.9974747904059229,0.9975145078379275,0.9975145078379275,0.9974950738113335,0.997559399302867
4,55.0,0.9951347918610064,0.9951467314166075,0.9951160274231416,0.9951413424285631,0.9951325688083031,0.9951501345135801,0.9951185968388444,0.9952202324970852,0.9948785773624778
5,74.0,0.9951347918610064,0.9951467314166075,0.9951160274231416,0.9951413424285631,0.9951325688083031,0.9951501345135801,0.9951185968388444,0.9952202324970852,0.9948785773624778
6,90.0,0.9951347918610064,0.9951467314166075,0.9951160274231416,0.9951413424285631,0.9951325688083031,0.9951501345135801,0.9951185968388444,0.9952202324970852,0.9948785773624778
7,103.0,0.9928914815097533,0.9928243658752589,0.9929434992630471,0.9928635868435295,0.9929290744744527,0.9928578353418281,0.9929192508136815,0.9929653633457018,0.9926688202893377
8,113.0,0.9899083940782812,0.9899010822981839,0.9898844567969928,0.989850352445596,0.9899673411442245,0.9898568481490192,0.9899606263893689,0.9899628418876355,0.9897257089915179
9,121.0,0.9899083940782812,0.9899010822981839,0.9898844567969928,0.989850352445596,0.9899673411442245,0.9898568481490192,0.9899606263893689,0.9899628418876355,0.9897257089915179
10,126.0,0.9899083940782812,0.9899010822981839,0.9898844567969928,0.989850352445596,0.9899673411442245,0.9898568481490192,0.9899606263893689,0.9899628418876355,0.9897257089915179
11,143.0,0.9899083940782812,0.9899010822981839,0.9898844567969928,0.989850352445596,0.9899673411442245,0.9898568481490192,0.9899606263893689,0.9899628418876355,0.9897257089915179
12,159.0,0.9899083940782812,0.9899010822981839,0.9898844567969928,0.989850352445596,0.9899673411442245,0.9898568481490192,0.9899606263893689,0.9899628418876355,0.9897257089915179
13,175.0,0.9868010468155864,0.9867732781653895,0.9868009758827478,0.986632645752104,0.9869520871816055,0.986722557035049,0.9869059107056226,0.9868177107169903,0.9866924197312819
14,189.0,0.9834559285157035,0.983428159865507,0.9834558575828646,0.9833514487624863,0.9835415983295317,0.9833224115490623,0.9836363661850558,0.9835080737218008,0.983303850212768
15,199.0,0.9768918469169373,0.9767217406569166,0.9770141827137405,0.9767003424249632,0.9770654655561983,0.9766079310698781,0.9772652119170935,0.9771837348553309,0.9762843140959233
16,214.0,0.9737137140294424,0.9734933179637625,0.9738837825231423,0.9734786971680892,0.9739313070814198,0.9734258204576417,0.9741119398092314,0.9741052256818753,0.9729511240530843
17,228.0,0.9701990947227497,0.9700140252861515,0.970339809331949,0.9699884312781811,0.9703931461385019,0.9699068256537334,0.9706246673601366,0.970648463979436,0.9693503190537154
18,241.0,0.9633678966745954,0.963324162362869,0.9633878394043667,0.9631446331139842,0.963597639945283,0.9629788002103753,0.9639041043241524,0.9639667372987204,0.9622113182944944
19,263.0,0.9557883205338418,0.9556800055660964,0.9558650359956553,0.9556504579971007,0.9559276335864675,0.9553333020051125,0.9564651669222509,0.9565491321575736,0.9543412613697129
20,287.0,0.9521177331901024,0.9519522760337393,0.9522480601919971,0.9520437919636257,0.9521916756905384,0.9516436174391516,0.9528500315474845,0.9529377725232763,0.9506040233814712
21,315.0,0.9483189281895181,0.9481907622026058,0.9484015224945154,0.9481533572323901,0.9484529627458689,0.9477483863594466,0.9491950606000126,0.9492659029101919,0.9464660605517982
22,333.0,0.9448526447302905,0.9446900630678006,0.944966786737901,0.9447509950834284,0.9449213087344519,0.9442777274030038,0.9457561239983828,0.9458388710267563,0.942951122398021
23,361.0,0.933333273450898,0.9332166092875404,0.9334104836213342,0.93323739578349,0.9333956466061264,0.9327579563323664,0.9342811447751055,0.9344263416125818,0.9311882147254945
24,383.0,0.929030610502562,0.9287809577420154,0.9292318938901928,0.9289347328351547,0.9290929836577897,0.9284157647444125,0.9300396393446686,0.9301821512179441,0.9267568439694525
25,415.0,0.9237964288302692,0.9233784640520382,0.9241566166602193,0.923589355675771,0.923953159944563,0.9233505369305128,0.9245316907670456,0.9248325107925398,0.9217548369092481
26,443.0,0.9194341341509477,0.9189319741990222,0.9198829291614338,0.9192514144132345,0.9195673236290172,0.9189489410814762,0.920272916047005,0.9205662492677243,0.9172564467334493
27,469.0,0.9145091474021495,0.9139471248784282,0.9150276329931082,0.9142697406007144,0.9146824902170209,0.9139616864912359,0.9154315886255223,0.9156106684775919,0.912385593202269
28,492.0,0.90986524494834,0.9093657088641934,0.9103297419662167,0.909699500823884,0.9099638005565309,0.9092921355636168,0.9108651418933562,0.9109342812717273,0.9078144831112279
29,530.0,0.9044811868110212,0.9037701587792606,0.9051442632693529,0.9042860617651793,0.9046081439765516,0.9038840510612437,0.905513395074558,0.9055502231344091,0.9024304249739084
30,554.0,0.8942455987484518,0.8936207009746597,0.8948079483679896,0.8940026617293804,0.8944099785152473,0.8935886597683002,0.8953429927890221,0.8951757717970873,0.8925649822790976
31,576.0,0.8881221639661774,0.887270154801351,0.8889173693006727,0.8877339625058993,0.8883885827043451,0.8873614967731087,0.889352841919865,0.8892556705142648,0.8858168359333588
32,626.0,0.8703160698142854,0.8694977267495,0.8710718456319909,0.8699946447819505,0.8705045131844378,0.8692538201069392,0.871966052117666,0.871483855277609,0.8678336089614598
33,687.0,0.8564742263807767,0.8556958716443241,0.8571284865357118,0.856285648314523,0.8566349462148517,0.8554924619172422,0.8580384705075478,0.8576667898464106,0.8540371832838706
34,727.0,0.8352034859239343,0.8341801585141372,0.8361259513923939,0.8348529505236254,0.8354726935117391,0.8337995947518148,0.8374269197980216,0.8362863179023556,0.8330463911012581
35,800.0,0.8293030799558178,0.8280974195552997,0.8303924277142422,0.8290428602163787,0.8295526830431105,0.8279571499156447,0.8314702574371339,0.8305284266376135,0.8268384798930055
36,846.0,0.8159347982229159,0.8147208122131786,0.8170771503967523,0.8157366309894445,0.8161533750572249,0.8146952439072569,0.8179170115037534,0.8174008026271242,0.8126571164025299
37,900.0,0.8093071070838623,0.8077899774088096,0.8108218092827455,0.8091089398503911,0.8095256839181733,0.8079640597351168,0.8114314592299903,0.810755086553579,0.8060674779029622
38,933.0,0.7917237335966321,0.790053674624286,0.7933963815256705,0.7915667685976802,0.7919108776632319,0.7905759321565111,0.7935940263325996,0.7930406462827607,0.7887755744562319
39,964.0,0.7758214144158556,0.7741500584332625,0.7775072020713399,0.7753612889184539,0.7762630044837737,0.7745500690263978,0.7778173727426956,0.777512340769913,0.7717903515625244
40,1026.0,0.7488145017160854,0.7474387431043874,0.7501375516229405,0.748206260887212,0.7494004895532563,0.7472918928662902,0.7510610951766531,0.7503352620456317,0.7453048327822944
41,1229.0,0.7402147745600123,0.7384103858217651,0.7420314002644836,0.7396065337311387,0.7408007623971838,0.7386598466966935,0.7425160617357749,0.7415134186395489,0.7371777474682698
42,1335.0,0.7101857629027518,0.7073901088267617,0.7129630709475006,0.7098487079782685,0.7107928662592488,0.7082903889061996,0.7129740806023176,0.7116200801084405,0.7070590471536248
43,1458.0,0.6878371001259185,0.6852376829541009,0.6903915178284452,0.6875955105952295,0.6882108436309176,0.6859565578444894,0.6904664608255933,0.6890398074207014,0.6853302292627464
44,1614.0,0.6513061236192228,0.6476139806900013,0.6549509955572511,0.6510652536213031,0.6517116225037434,0.649283402526605,0.6543079605267635,0.6524931440987216,0.6488288401067287
45,1834.0,0.6348264917933877,0.6309356264157603,0.6387410534688863,0.6345062599062573,0.6352882053494323,0.6326309599039802,0.6380133663112273,0.6365385091729366,0.6309410790728834
46,2146.0,0.5469043351201976,0.5413423661018448,0.552545480485083,0.5463511887507497,0.5470802423540397,0.543621819882992,0.5518589519089055,0.5485857218002664,0.5438037607807538
47,2369.0,0.4898370104746903,0.4866779264954009,0.49317987966660276,0.4893851668950893,0.4900108999481608,0.486947448982228,0.4941082825651373,0.4906567509449623,0.4893441436872405
48,2761.0,0.43800646950088146,0.4333320036944563,0.4429790902945029,0.4376615252442554,0.4381827090790723,0.435813919481015,0.4410221288123642,0.4374130877697616,0.4402687990419953
49,3787.0,0.37335835444182036,0.37098844454200974,0.37584301304404866,0.3704950888974155,0.3753124558157821,0.37122991927157034,0.37645179642983245,0.3735390171604612,0.3734286674437746
