,timesteps,full_model,tobacco_smoking_history_clinical=0,tobacco_smoking_history_clinical=1,stage_event_pathologic_stage_Stage.IB_clinical=0,stage_event_pathologic_stage_Stage.IB_clinical=1,stage_event_pathologic_stage_Stage.IIA_clinical=0,stage_event_pathologic_stage_Stage.IIA_clinical=1,anatomic_neoplasm_subdivision_R.Upper_clinical=0,anatomic_neoplasm_subdivision_R.Upper_clinical=1
0,2.0,0.995503699507647,0.9952456894532055,0.9952456894532055,0.9954578615736511,0.9955917638555796,0.9955293284752414,0.9954523682416111,0.9955380622740674,0.9954319944184777
1,4.0,0.995503699507647,0.9952456894532055,0.9952456894532055,0.9954578615736511,0.9955917638555796,0.9955293284752414,0.9954523682416111,0.9955380622740674,0.9954319944184777
2,6.0,0.9885062329311382,0.986669634484859,0.986669634484859,0.988448283753123,0.9885847279010802,0.9884740509964132,0.9885698636911968,0.9885897827434557,0.988325851162897
3,12.0,0.9836429337257399,0.9821492669247527,0.9821492669247527,0.9835575881656714,0.9837549189370444,0.9835880948813609,0.9837412769353717,0.9838296821246355,0.9832062176363038
4,14.0,0.9836429337257399,0.9821492669247527,0.9821492669247527,0.9835575881656714,0.9837549189370444,0.9835880948813609,0.9837412769353717,0.9838296821246355,0.9832062176363038
5,18.0,0.9810180538414416,0.9797577639186552,0.9797577639186552,0.9809547914613508,0.9810858726927899,0.9809389517304251,0.9811551367204958,0.9811912802931776,0.9806063013467629
6,24.0,0.9783630817772966,0.9773666078499903,0.9773666078499903,0.9783338552194164,0.9783866343858854,0.9782691399353743,0.978539557396574,0.9785363082290319,0.9779513292826183
7,28.0,0.9783630817772966,0.9773666078499903,0.9773666078499903,0.9783338552194164,0.9783866343858854,0.9782691399353743,0.978539557396574,0.9785363082290319,0.9779513292826183
8,31.0,0.9783630817772966,0.9773666078499903,0.9773666078499903,0.9783338552194164,0.9783866343858854,0.9782691399353743,0.978539557396574,0.9785363082290319,0.9779513292826183
9,36.0,0.9755738424234816,0.9748050025506386,0.9748050025506386,0.9755129535486519,0.9756621822584004,0.975560321805072,0.9755549432421207,0.9757249285441516,0.9752104568936463
10,40.0,0.9755738424234816,0.9748050025506386,0.9748050025506386,0.9755129535486519,0.9756621822584004,0.975560321805072,0.9755549432421207,0.9757249285441516,0.9752104568936463
11,49.0,0.972190078889985,0.9707705000569646,0.9707705000569646,0.9721110715237394,0.9723218239458442,0.9722285170036323,0.9720452320916488,0.9723208090969478,0.9718829719153892
12,55.0,0.9666293371864586,0.964584910845353,0.964584910845353,0.9665940251599622,0.9666612697740845,0.9666003216009073,0.9666198392837613,0.9667989174322715,0.9662073158864221
13,61.0,0.9602625319892304,0.9574335896057043,0.9574335896057043,0.9601922853250027,0.9603397109971022,0.9601424683349538,0.9604076100600226,0.9603880420070037,0.9599411982742538
14,70.0,0.9602625319892304,0.9574335896057043,0.9574335896057043,0.9601922853250027,0.9603397109971022,0.9601424683349538,0.9604076100600226,0.9603880420070037,0.9599411982742538
15,85.0,0.9505254459114608,0.9475603679180693,0.9475603679180693,0.9504462044803788,0.9506301080503267,0.950622242742608,0.9502515512254228,0.9506569687354636,0.9501922612665181
16,100.0,0.9438047931794917,0.9406191890787116,0.9406191890787116,0.94372555174841,0.9439094553183585,0.9439697660391679,0.943375960004353,0.9440359220760925,0.9432446862783871
17,113.0,0.9400003204928392,0.9358482712749496,0.9358482712749496,0.9399122334182365,0.9401626133394916,0.940375258606559,0.9392510762694193,0.9402857112050658,0.9393296807279133
18,123.0,0.9297208607063147,0.9261824127930556,0.9261824127930556,0.9295476388127545,0.9300763124295308,0.9301092910991751,0.9289031245761915,0.9299692788217601,0.9291372152867554
19,146.0,0.9159497524232496,0.9109220100260892,0.9109220100260892,0.9157832545203531,0.9162801217565888,0.9164394761472829,0.9149087701166024,0.9162256311580492,0.9153126774096794
20,166.0,0.9017317820119313,0.8962814694616105,0.8962814694616105,0.901605364045048,0.9019990208951779,0.9021317968434052,0.9008708377113396,0.9020052622171196,0.9011423896231955
21,185.0,0.8983756517283145,0.8920000434833506,0.8920000434833506,0.8982116045519754,0.8987089116218556,0.8987675357157452,0.8975350345378331,0.898618261023445,0.8978691456186381
22,206.0,0.8944877546186527,0.8874552874791806,0.8874552874791806,0.8943153342365717,0.8948491245600401,0.8949791078046471,0.8934963332159355,0.8948033763534602,0.8938084012014557
23,222.0,0.8873363172187406,0.8785034176534559,0.8785034176534559,0.8871560469562767,0.88772235821276,0.8877474892675141,0.8864807766218599,0.887633483724567,0.8866923363237575
24,258.0,0.8833305351057816,0.8735618578894458,0.8735618578894458,0.8831502648433177,0.8837165760998009,0.8836962875078361,0.8825542564949613,0.8835778366171958,0.8828105597708218
25,274.0,0.8717825721028274,0.8613427559601595,0.8613427559601595,0.871690297433446,0.8720165100616147,0.8722720329842173,0.8708513251241107,0.8719951969977152,0.8713607174222974
26,329.0,0.8516889223161636,0.8415248600316163,0.8415248600316163,0.8513118599254991,0.8524356130281943,0.8521467199143704,0.8508300296850072,0.8518794962472572,0.8513622986837233
27,357.0,0.8257748176307288,0.8167159051584905,0.8167159051584905,0.8253844266429436,0.8265545242503312,0.8263674552836922,0.8246584318871661,0.8259489421028813,0.8255291991900279
28,396.0,0.8012851536586274,0.7935477126830357,0.7935477126830357,0.8009584215448837,0.8019093695078798,0.8019324947748101,0.8000642063547408,0.8014085538433171,0.8012078545400841
29,428.0,0.7818243407087792,0.7737264400383038,0.7737264400383038,0.7813145737517021,0.782753310275385,0.7826996513122848,0.779965397705814,0.7819069522252873,0.7818823848266564
30,474.0,0.760450444861908,0.7521969543958574,0.7521969543958574,0.7601357320815468,0.7609776869433358,0.7612448221579603,0.7587783344354709,0.7604725128715935,0.760669479238181
31,540.0,0.7370623598847686,0.7296376207570997,0.7296376207570997,0.7367222636974258,0.737607950828742,0.73767268050167,0.7356630543985115,0.7369776080766144,0.7375769448270564
32,587.0,0.7232658688254509,0.7160990634300054,0.7160990634300054,0.7229418064781352,0.7237441712214869,0.7239290285182358,0.7216675790473696,0.7232386310373307,0.7236696199946254
33,661.0,0.7091221523827207,0.7007893780512399,0.7007893780512399,0.7087497657663517,0.709699263368452,0.7097749778198736,0.7075205552670418,0.7091072272273277,0.7095209848189062
34,716.0,0.6879502932250894,0.6787980239566815,0.6787980239566815,0.6874629043676325,0.688831221701599,0.6888206578997578,0.6859922426516673,0.6880357728629306,0.6882108763062101
35,759.0,0.6779711683068221,0.6684549915715806,0.6684549915715806,0.6774547229102451,0.6789169563980069,0.6788159878708276,0.6760714278676339,0.6779831771264877,0.6783902748403371
36,822.0,0.6732496894041888,0.6640071362686436,0.6640071362686436,0.6727048598642732,0.6742718378085868,0.6740533853449341,0.6714063153937767,0.6732477112361829,0.6737124024286788
37,913.0,0.6558064672185518,0.6433496960842816,0.6433496960842816,0.6553601801959908,0.6566366159814857,0.6564176453777222,0.6543274855835184,0.6558694735990249,0.6561572523828496
38,965.0,0.6311708286684118,0.617385316189079,0.617385316189079,0.6309172624633375,0.6315032667712833,0.631551048911568,0.630031440973078,0.6311730119525492,0.631611758548468
39,1058.0,0.5944337074325609,0.5819886954420067,0.5819886954420067,0.5938831437413381,0.5953288885270406,0.5945814645228045,0.5936823030287502,0.5948370431180803,0.5938837904745248
40,1154.0,0.562624101407789,0.5501070195782704,0.5501070195782704,0.5618595352679301,0.5639064658346077,0.5629685597568947,0.5613890583012223,0.5634253747331063,0.5610410625947441
41,1311.0,0.5553893252580818,0.5416679159333248,0.5416679159333248,0.5546247591182227,0.5566716896849012,0.5557337836071881,0.5541542821515149,0.5560971262662429,0.5540402662809911
42,1361.0,0.5261640644934112,0.510677414470157,0.510677414470157,0.5250074892939554,0.5283488064120269,0.5269468152924368,0.5238984948959785,0.5267125088603936,0.5251871643591388
43,1524.0,0.5103814957252792,0.4968329493428311,0.4968329493428311,0.5093333932950391,0.512340846216145,0.5110092994865828,0.5084097924931853,0.5108843413911279,0.5095389267336332
44,1656.0,0.48391967350974796,0.46680722969244687,0.46680722969244687,0.4829758218496469,0.48581187856932206,0.48484130398444847,0.481571571940051,0.48425651839756667,0.48338612700976535
45,1810.0,0.4658803962757269,0.44796687431510923,0.44796687431510923,0.46508904781632115,0.467428483362887,0.4667099699795592,0.4636888212844685,0.4661616797942022,0.46531338030787195
46,2025.0,0.4282556599850026,0.4145114259287015,0.4145114259287015,0.4274598246146537,0.42985936328061064,0.4290008372985968,0.42628660308115796,0.42876853083853245,0.4271729842113851
47,2183.0,0.40290496834674305,0.3921042788517105,0.3921042788517105,0.40217257005335855,0.4044443051337377,0.4030094438414836,0.40226756709779465,0.4034024498497032,0.40186516290685453
48,2639.0,0.35199190020246596,0.34251584987946093,0.34251584987946093,0.3512476982672344,0.3537462619848288,0.35332856740978696,0.34946622835833263,0.35240169676692645,0.3512694576644943
49,3253.0,0.2688107450054387,0.25767596017891997,0.25767596017891997,0.268068469717436,0.27052715843087694,0.2705433581661312,0.2659338491645506,0.268760702537115,0.2692926251340137
