,timesteps,full_model,tumor_residual_disease_1.10.mm_clinical=0,tumor_residual_disease_1.10.mm_clinical=1,anatomic_neoplasm_subdivision_Left_clinical=0,anatomic_neoplasm_subdivision_Left_clinical=1,stage_event_clinical_stage_Stage.IIIC_clinical=0,stage_event_clinical_stage_Stage.IIIC_clinical=1,tumor_residual_disease_No.Macroscopic.disease_clinical=0,tumor_residual_disease_No.Macroscopic.disease_clinical=1
0,12.0,0.9953524918584349,0.99544942368572,0.9952402503210547,0.9953902127240294,0.9952452851877981,0.9953829332587388,0.9953398079416415,0.9950556014673181,0.9964633984167406
1,24.0,0.9819346100417193,0.9818723100974328,0.9819234422170436,0.9820168786350814,0.9816721794093515,0.9819650514420238,0.9819219261249259,0.9808350099468389,0.9861519830641049
2,61.0,0.9671723319847187,0.9667560230596911,0.9673975437492296,0.9672274395010841,0.966983539924454,0.9671222727931066,0.9671936409649317,0.9650731809379618,0.9745971214705098
3,89.0,0.9626279491479688,0.9623621964499975,0.9627305776960376,0.9627619475223348,0.9621891131818382,0.9625033085256108,0.9626857878085479,0.9602787515187211,0.9709814513821499
4,94.0,0.9533555677159422,0.9533068415296727,0.9532850171907752,0.9534514557987738,0.9530410418004913,0.9532683700159595,0.9534033607144197,0.9513959962066286,0.9602454881987461
5,116.0,0.9533555677159422,0.9533068415296727,0.9532850171907752,0.9534514557987738,0.9530410418004913,0.9532683700159595,0.9534033607144197,0.9513959962066286,0.9602454881987461
6,129.0,0.9488112122671862,0.94853536937775,0.9489298457407213,0.9488940540356017,0.9485244097698703,0.9487631535104519,0.9488312818475299,0.9465759087541663,0.9566578989916601
7,147.0,0.9488112122671862,0.94853536937775,0.9489298457407213,0.9488940540356017,0.9485244097698703,0.9487631535104519,0.9488312818475299,0.9465759087541663,0.9566578989916601
8,168.0,0.9488112122671862,0.94853536937775,0.9489298457407213,0.9488940540356017,0.9485244097698703,0.9487631535104519,0.9488312818475299,0.9465759087541663,0.9566578989916601
9,185.0,0.9488112122671862,0.94853536937775,0.9489298457407213,0.9488940540356017,0.9485244097698703,0.9487631535104519,0.9488312818475299,0.9465759087541663,0.9566578989916601
10,192.0,0.9436019494643885,0.9434976566069772,0.9435536248226709,0.9436847912328037,0.9433151469670725,0.9435538907076539,0.943622019044732,0.9411501209156408,0.9524496422192616
11,220.0,0.9436019494643885,0.9434976566069772,0.9435536248226709,0.9436847912328037,0.9433151469670725,0.9435538907076539,0.943622019044732,0.9411501209156408,0.9524496422192616
12,239.0,0.9436019494643885,0.9434976566069772,0.9435536248226709,0.9436847912328037,0.9433151469670725,0.9435538907076539,0.943622019044732,0.9411501209156408,0.9524496422192616
13,257.0,0.9436019494643885,0.9434976566069772,0.9435536248226709,0.9436847912328037,0.9433151469670725,0.9435538907076539,0.943622019044732,0.9411501209156408,0.9524496422192616
14,277.0,0.9436019494643885,0.9434976566069772,0.9435536248226709,0.9436847912328037,0.9433151469670725,0.9435538907076539,0.943622019044732,0.9411501209156408,0.9524496422192616
15,360.0,0.9322443626214763,0.932189951389288,0.9321482115249695,0.9323157888647767,0.9320003683433374,0.9323232286902962,0.9322066385664007,0.929098989730326,0.9438479108606245
16,395.0,0.9147418557013641,0.9143919560152285,0.914810167322101,0.914901459708987,0.9142159905835103,0.9149197518236062,0.9146792950449814,0.9103658118655862,0.9305638990509663
17,446.0,0.9027169060806743,0.9021396543661462,0.9029911319328006,0.9028383496186297,0.9022996515303364,0.9029409716600449,0.9026436909341848,0.8993405365622853,0.914674808179921
18,528.0,0.8904249668777159,0.8892205476389078,0.8912605664678265,0.8905343233890798,0.890039944398288,0.8906490324570859,0.8903517517312264,0.8862141864150034,0.9047885482245502
19,555.0,0.8772915668358569,0.875753470674184,0.8783979618554869,0.8773158417938174,0.8771752857146392,0.8775963877836543,0.877171212544055,0.8724057208064357,0.894294501603016
20,571.0,0.858612224641441,0.8574427246373792,0.8592988689779837,0.8585648786374707,0.8587072511787512,0.8589515458429169,0.8584774952439401,0.8527891705330061,0.8791022577953037
21,629.0,0.8331634726885272,0.8321043495935316,0.8337397217837145,0.8329912732287532,0.8336385922994399,0.8335027938900019,0.833028743291026,0.8258593492036063,0.8589194976005133
22,679.0,0.8186652174662575,0.8182572769529303,0.8186758417169052,0.8185016402822294,0.8190971253421778,0.8190829447872343,0.818503819320626,0.8105185977231796,0.8479047859343146
23,741.0,0.8109253489273389,0.8111513978791077,0.8104264663960008,0.8107072611009004,0.8115246180653688,0.8114473942241892,0.8107354490121904,0.802395968021655,0.8419077282405637
24,837.0,0.797730257122842,0.7987200575583945,0.79659164342313,0.7974496085338212,0.7985319540592439,0.7979401089476811,0.7976524830321484,0.7884854328506504,0.8317437403725385
25,863.0,0.7841395272784452,0.7852044228669274,0.7828938114910317,0.7838251042635582,0.7850548338710387,0.7844013197425539,0.7840497668863814,0.774086611898549,0.8213341509205156
26,887.0,0.769826334198187,0.7700651441588887,0.7692211770781223,0.7695261488445501,0.77069522571533,0.7700881266622961,0.7697365738061234,0.7609769599377523,0.8018328854535535
27,949.0,0.740056038779703,0.7406457270009492,0.7391329204641258,0.7397681563607432,0.7408527941208288,0.7402803935442264,0.7399820275843244,0.7298264841435292,0.7781305915259971
28,952.0,0.7254262670901904,0.7258577128961047,0.7246222364670399,0.7251069799860689,0.726321037664807,0.7255618711032727,0.7254091071284559,0.7144608039250154,0.7665427853649628
29,976.0,0.7112937642942335,0.7117525578682845,0.7104272399926853,0.7111295637431085,0.7116722586430201,0.711579767700503,0.7112077240445787,0.6996090214194198,0.7554273354916217
30,1024.0,0.6883827501759667,0.6880812703491525,0.6880811136475439,0.6882701598743036,0.6886338457782175,0.6887822816067224,0.6882407863977851,0.6752742315899704,0.7373049267332983
31,1069.0,0.6624094767856255,0.662339142997024,0.6619295797856188,0.6622922770214121,0.6626611890954182,0.662708141807296,0.662327049361501,0.6508032352998326,0.7059125281831471
32,1104.0,0.6226211258947448,0.6234273827123592,0.6213397368949074,0.6224940242813696,0.622887087530328,0.6232987275044444,0.6224026881408403,0.6088851101708919,0.6750954798283922
33,1158.0,0.6001899207347549,0.6010380392263621,0.5987586716651226,0.6001011331266667,0.6003298455503941,0.6007765512777377,0.59999147466993,0.5849559696002188,0.6582945307717779
34,1199.0,0.5703683745749906,0.5714643631728037,0.5686435742929309,0.5702603590124043,0.5705828106817442,0.571166296646254,0.570102440716807,0.5537160538288668,0.6342212688608702
35,1249.0,0.5462104946875566,0.5473648019869702,0.5444732404604565,0.5460657616340355,0.5465503127107758,0.5471493783489357,0.5459067418661713,0.5279751214620135,0.6159354481462798
36,1278.0,0.5208055987428,0.521309015200513,0.5196296306163576,0.5206564169059019,0.5211817660018845,0.5217444824041793,0.5205018459214146,0.5040543381285624,0.5845123822557486
37,1324.0,0.49528010683553625,0.49580498264280437,0.49412067122666975,0.4950182642199351,0.4960040689541878,0.49641974911916853,0.49486896957999116,0.4772201218226598,0.5644855433579151
38,1357.0,0.4621039506086574,0.4631020785621725,0.4605402222106594,0.4618725775946843,0.46270472306035754,0.46295718004826214,0.4617810766879509,0.4421174638949952,0.5389145729618453
39,1369.0,0.4535257204157862,0.4548341953391395,0.4517119390700837,0.45327683494851295,0.4541921645673622,0.454535254737723,0.4531515142656653,0.4331465816236269,0.5318904435416019
40,1446.0,0.4135190831412932,0.41416199723355873,0.41233608156793916,0.41315201051640515,0.4145755177595147,0.414293213150469,0.4132337926417317,0.39789345164383527,0.4728447447797473
41,1516.0,0.3760663690989216,0.37695865392165223,0.3746433629187533,0.37588406061574325,0.37657086187114397,0.3764958961679866,0.3759497620087971,0.36217775141495046,0.42897736146498605
42,1583.0,0.3470517760018385,0.34949348470985775,0.34427484448567136,0.3467202620918457,0.34804017646020247,0.34769280389884255,0.3468683818175297,0.3316339250025297,0.40612313260730776
43,1722.0,0.3170062011210266,0.3186343653150373,0.3150727421653672,0.3165570221553149,0.31831959661077125,0.3178578448523909,0.3167260809979068,0.2996677496745875,0.3835700567968717
44,1815.0,0.27717542170887755,0.2810898834562015,0.27305690651710146,0.27656640749548145,0.27900872854830283,0.2782937037710221,0.276823118276185,0.25768294779709283,0.35352135708210575
45,1933.0,0.2663231023771689,0.2697338819870288,0.26273655920285327,0.2657140881637729,0.26815640921659417,0.2674413844393135,0.2659707989444764,0.24635618857262512,0.34473340095232785
46,2089.0,0.22081120294106293,0.2228312216875708,0.21853153264898123,0.22035465869440846,0.22218363174839212,0.22175757518905354,0.22050418652728757,0.20296346546225166,0.29035133715828454
47,2143.0,0.20962605432421996,0.21203697582882994,0.2070386225183265,0.20903899634534798,0.2113795102732207,0.2106735355089359,0.20928316054580007,0.19120266446727252,0.2813506228090517
48,2490.0,0.18078869713077736,0.1835075618966725,0.1781491035303155,0.17994436787616763,0.1833761810867035,0.18129130283105296,0.1806414980686002,0.16106323284499346,0.2585475855781752
49,2780.0,0.14925537320890372,0.15187347545644753,0.14674995216461897,0.14823749905044076,0.1523804357075454,0.14921310342473892,0.1493038688629692,0.12787743011587993,0.23334402764232218
