,timesteps,full_model,breslow_depth_value_clinical=0,breslow_depth_value_clinical=1,tumor_tissue_site_Regional.Lymph.Node_clinical=0,tumor_tissue_site_Regional.Lymph.Node_clinical=1,melanoma_ulceration_indicator_YES_clinical=0,melanoma_ulceration_indicator_YES_clinical=1,gender_MALE_clinical=0,gender_MALE_clinical=1
0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,14.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,15.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,17.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,39.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,59.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,99.0,0.9943248883638959,0.9963377513251268,0.9963377513251268,0.9944528889779579,0.9941776306859267,0.9947746991791352,0.9939190978732922,0.9943696829267626,0.99427854916093
10,133.0,0.9943248883638959,0.9963377513251268,0.9963377513251268,0.9944528889779579,0.9941776306859267,0.9947746991791352,0.9939190978732922,0.9943696829267626,0.99427854916093
11,213.0,0.9866559291615026,0.9899427412860008,0.9899427412860008,0.986783929775565,0.9865086714835337,0.9873946364533377,0.9860021467030281,0.9865719393561277,0.9867153978053089
12,263.0,0.9725594625089525,0.9822750250202855,0.9822750250202855,0.9727629502567353,0.9723171579769009,0.9736909402232856,0.9715219902441925,0.9726787795205889,0.9724177739598846
13,282.0,0.9505132364083784,0.9646897346744222,0.9646897346744222,0.9507815017851958,0.950205336160129,0.952184502979109,0.9489281951743732,0.9505788957618213,0.9504505640474689
14,353.0,0.9447544010955733,0.9614418524227547,0.9614418524227547,0.9451351453735022,0.944304373562015,0.9468824032017705,0.9425951521827967,0.9445139728610243,0.944915412544865
15,384.0,0.9265512402042987,0.9471447852672368,0.9471447852672368,0.9269661656513487,0.9260364424788615,0.9289941729416891,0.9240282742392819,0.9262682923240669,0.9267759397225497
16,422.0,0.9093141720344668,0.9279352222432474,0.9279352222432474,0.909904874166854,0.9086891172271907,0.9113758858738632,0.9072249376539615,0.9092178163878324,0.909443791986332
17,440.0,0.8990900168873175,0.9187469927835579,0.9187469927835579,0.899683614637459,0.8984050418740501,0.9018494737417148,0.896228536803155,0.8992006755326687,0.8990529783022004
18,470.0,0.876808740001557,0.8999800202622606,0.8999800202622606,0.8771876189865273,0.8762777049238557,0.8801259957555466,0.8735435987571822,0.8764172946444675,0.877134797501377
19,507.0,0.8662572528311826,0.8895426711900323,0.8895426711900323,0.8668905774953178,0.8655000231538589,0.8698119027852932,0.8626160104141742,0.8659427820390186,0.8665531898490756
20,650.0,0.8438653134056862,0.86904432420621,0.86904432420621,0.8448328687175273,0.8428506533379047,0.847072753071956,0.8405916589754985,0.8432980990238259,0.8443296635705906
21,710.0,0.8332679540835483,0.855901785501795,0.855901785501795,0.8342441029883209,0.8322534043472021,0.8360131314029646,0.8305341143225908,0.8325287695477902,0.8338571234274889
22,743.0,0.8128180622132514,0.8421012864679466,0.8421012864679466,0.8139198553510731,0.811662279652698,0.8159667772588676,0.8097392291704611,0.8122540409193418,0.8132602899608131
23,808.0,0.7834022108387808,0.8213920680370486,0.8213920680370486,0.7846381684133453,0.7820786483035403,0.7879785757657882,0.779066026693041,0.7823528960064611,0.7842424976802601
24,824.0,0.7596086767734214,0.8007236505726835,0.8007236505726835,0.7603854171372634,0.7586323750764058,0.7657726285876356,0.7536425875402183,0.7587011821983206,0.760360075323641
25,896.0,0.735061370555593,0.7736753799417182,0.7736753799417182,0.7354036872287033,0.7344801171100952,0.7417158613406964,0.7286312747306258,0.7341253793768492,0.7358492441214443
26,952.0,0.7247327068404762,0.7623484454085432,0.7623484454085432,0.7254602832105269,0.7238895528655944,0.7310713020974193,0.7186798063727144,0.7239914287532337,0.7253497294749098
27,996.0,0.705289487139414,0.7460909206597016,0.7460909206597016,0.7060368171615987,0.704318906874679,0.7126391138113497,0.6982485805871593,0.7042079029391203,0.7062699112572449
28,1059.0,0.6915246650021308,0.7351547912079442,0.7351547912079442,0.6916987231639408,0.6909716254597911,0.6990424174925982,0.6842131691598112,0.6909964006002421,0.6920672548834595
29,1136.0,0.6752696801112587,0.7272891814638925,0.7272891814638925,0.6752410752453921,0.6748686626845314,0.6831992046692141,0.66757767309935,0.6750424256010817,0.6756147404428412
30,1204.0,0.6693532555339198,0.7198618360598745,0.7198618360598745,0.6692604563909448,0.6690060784686381,0.6770087069463803,0.6619753250383202,0.6691260010237435,0.6696983158655023
31,1280.0,0.6626113365112477,0.7120150913724037,0.7120150913724037,0.6627717583390781,0.662089188995159,0.6700072137705994,0.6555573301015734,0.6623840820010714,0.6629563968428298
32,1330.0,0.6483093727037456,0.6987321948019235,0.6987321948019235,0.6487612902595378,0.6474821301362333,0.6560128827238741,0.6407142005463159,0.6477846732741714,0.6489442307738862
33,1441.0,0.6211396617814697,0.6693153093342971,0.6693153093342971,0.6216021307210005,0.6202756534755766,0.6285967928720987,0.6134704436368507,0.6205941340496758,0.6219010065858158
34,1478.0,0.6077493457621169,0.6523486988039842,0.6523486988039842,0.6079945488771398,0.6070610084343216,0.6146386832149002,0.6007195432503352,0.6073285894845714,0.6083675683244849
35,1524.0,0.5801712750742225,0.6209022703806807,0.6209022703806807,0.5800045699352147,0.5797937151355936,0.5864489677199067,0.5738414261599148,0.5801033293889611,0.580494556224004
36,1628.0,0.5659179798909274,0.6029214857340907,0.6029214857340907,0.5661179316724726,0.5652154269175117,0.5730012078090915,0.55869751148181,0.5658893023895125,0.5661984230219671
37,1716.0,0.5659179798909274,0.6029214857340907,0.6029214857340907,0.5661179316724726,0.5652154269175117,0.5730012078090915,0.55869751148181,0.5658893023895125,0.5661984230219671
38,1807.0,0.5483530179096783,0.5807031616570465,0.5807031616570465,0.5488410433551844,0.547455680697266,0.5543516766993377,0.5422429710364494,0.5477355023243735,0.5491144469939504
39,1910.0,0.5196032282454234,0.5535571417992251,0.5535571417992251,0.5211715190332642,0.5180502580586561,0.524237393286405,0.5148780748370565,0.5184435591708234,0.520827621272502
40,1992.0,0.4933948648020131,0.5276903410367004,0.5276903410367004,0.49546461102830147,0.49149190143779536,0.4966876812271202,0.49016544010560015,0.49285523207982035,0.49430308890089325
41,2073.0,0.4649224439642915,0.4981044296906498,0.4981044296906498,0.46586718861105897,0.46395622369769024,0.46919357584500626,0.46064817124492635,0.4643755958339373,0.46584080255555715
42,2367.0,0.44631415925274026,0.48090332868180413,0.48090332868180413,0.4471223577147688,0.44554874219899016,0.4505021752805937,0.44211883619197684,0.4460047516428929,0.4471008351630233
43,2717.0,0.43590395465351345,0.4688422407884215,0.4688422407884215,0.4363560728809444,0.435368343754582,0.43956874496418896,0.4322940574416129,0.4356775178156428,0.4366574422550053
44,2889.0,0.41900570458140196,0.4564074313344574,0.4564074313344574,0.4193619290296343,0.41853668658469156,0.4217597201149353,0.41617993841026285,0.4198253700869316,0.4187764488490437
45,3104.0,0.4009850691787368,0.4482920483496455,0.4482920483496455,0.4014794175512377,0.40042034181394165,0.40330469211119613,0.3985959360468296,0.402132534368883,0.400564570219436
46,3199.0,0.3612146802856203,0.40282905041007905,0.40282905041007905,0.3626023752250441,0.3598140144897836,0.3642464573563968,0.3576240822146823,0.3630141357731383,0.3603994602768797
47,3687.0,0.34831362662673765,0.3894238174804082,0.3894238174804082,0.350032563665046,0.3466867796684031,0.3505490618364238,0.3455730888685111,0.34935381701310714,0.3479638682154886
48,4135.0,0.32441077329191753,0.36329934604466135,0.36329934604466135,0.3255612076100291,0.32327225408106075,0.3291319924189317,0.3193941585203424,0.32635610832009265,0.32324216827180463
49,6164.0,0.2738847011307184,0.305172955554738,0.305172955554738,0.2751955060592572,0.2725771822283318,0.275963837471714,0.2718123433613143,0.2766961686289508,0.2719090004095165
