,timesteps,full_model,laterality_Right_clinical,neoplasm_histologic_grade_G2_clinical,hemoglobin_result_Normal_clinical,white_cell_count_result_Normal_clinical
0,2.0,1.0,0.0,0.0,0.0,0.0
1,8.0,1.0,0.0,0.0,0.0,0.0
2,15.0,1.0,0.0,0.0,0.0,0.0
3,20.0,1.0,0.0,0.0,0.0,0.0
4,29.0,1.0,0.0,0.0,0.0,0.0
5,62.0,0.9905807492895792,0.0,2.383427912774548e-07,4.994462260360335e-07,1.1019293751403848e-07
6,91.0,0.9818895490998049,2.724198984282693e-08,5.946251373314071e-07,4.735401769422071e-07,1.8010238368800944e-07
7,127.0,0.9772405551842024,1.1194892413858664e-07,6.213844807953036e-07,4.835004905763758e-07,2.763777177868294e-07
8,162.0,0.9728082118266645,2.0307395460792929e-07,6.074051684374448e-07,5.457246498764805e-07,5.508218481279858e-07
9,186.0,0.9678489582568696,3.332618836677467e-07,8.002886285285752e-07,9.161324706723566e-07,7.791810405957895e-07
10,205.0,0.9678489582568696,3.332618836677467e-07,8.002886285285752e-07,9.161324706723566e-07,7.791810405957895e-07
11,222.0,0.9581320160339204,5.517472890463335e-07,1.0101760400853887e-06,9.945382154323267e-07,1.3728724061554842e-06
12,248.0,0.9476078508277496,5.966258210355791e-07,2.067956249740868e-06,1.439137919624457e-06,1.922071665529658e-06
13,291.0,0.9476078508277496,5.966258210355791e-07,2.067956249740868e-06,1.439137919624457e-06,1.922071665529658e-06
14,329.0,0.9373118062755375,5.484308630921377e-07,2.5074880963682757e-06,2.1222297961023744e-06,2.8368844539543183e-06
15,355.0,0.9270868866964865,6.223242545096773e-07,2.8103431991095172e-06,2.655925554451225e-06,3.889070459766759e-06
16,373.0,0.9211302281902334,5.591821401702171e-07,2.90579312579925e-06,2.6504015946632816e-06,3.889186148290859e-06
17,408.0,0.9211302281902334,5.591821401702171e-07,2.90579312579925e-06,2.6504015946632816e-06,3.889186148290859e-06
18,459.0,0.9041346349535155,5.556379938705752e-07,3.1009354207175644e-06,3.650829868550359e-06,6.169886585755644e-06
19,551.0,0.8927800408700752,6.239799724207586e-07,3.6761444783866113e-06,4.613039476834221e-06,8.247512359967167e-06
20,563.0,0.8755490396849956,8.323319869148062e-07,5.663727667554495e-06,6.315029527917059e-06,1.5631984298041446e-05
21,637.0,0.8582585497771178,1.2802132718939006e-06,6.699711319259758e-06,6.984042466118375e-06,1.5983278917132106e-05
22,693.0,0.8456282368397237,1.3394076093621898e-06,6.5954194778185225e-06,7.175264262824678e-06,1.6153592348230527e-05
23,723.0,0.8331654810891708,1.338307614444898e-06,8.080295702965426e-06,7.847692737561719e-06,2.1430269889876496e-05
24,774.0,0.8143253752793677,1.1291592391986904e-06,7.449479608111851e-06,8.45305419382184e-06,2.1381335776172333e-05
25,881.0,0.7945575440038519,1.2687081933333424e-06,9.534887071747677e-06,1.0669243950355128e-05,2.8435285862459295e-05
26,932.0,0.7813607193500347,1.3793509891507427e-06,1.1923943860337489e-05,1.0663433651920696e-05,3.044476504429775e-05
27,967.0,0.7684980633561612,1.6328708872459945e-06,9.272259238506064e-06,1.1130434442486479e-05,2.744746613991971e-05
28,1042.0,0.7684980633561612,1.6328708872459945e-06,9.272259238506064e-06,1.1130434442486479e-05,2.744746613991971e-05
29,1102.0,0.7549813794607245,1.632870887245995e-06,1.0859017798648152e-05,1.1554714779578336e-05,2.5928797431357925e-05
30,1132.0,0.7549813794607245,1.632870887245995e-06,1.0859017798648152e-05,1.1554714779578336e-05,2.5928797431357925e-05
31,1165.0,0.7549813794607245,1.632870887245995e-06,1.0859017798648152e-05,1.1554714779578336e-05,2.5928797431357925e-05
32,1329.0,0.7470286708221123,2.035660352822412e-06,1.0979732768475502e-05,1.1644787921556014e-05,2.6894894988043485e-05
33,1398.0,0.7470286708221123,2.035660352822412e-06,1.0979732768475502e-05,1.1644787921556014e-05,2.6894894988043485e-05
34,1463.0,0.7367309378158766,1.7965915930187383e-06,1.2736558209883595e-05,1.1538982313473448e-05,2.638514402382459e-05
35,1496.0,0.7367309378158766,1.7965915930187383e-06,1.2736558209883595e-05,1.1538982313473448e-05,2.638514402382459e-05
36,1528.0,0.7367309378158766,1.7965915930187383e-06,1.2736558209883595e-05,1.1538982313473448e-05,2.638514402382459e-05
37,1558.0,0.7367309378158766,1.7965915930187383e-06,1.2736558209883595e-05,1.1538982313473448e-05,2.638514402382459e-05
38,1598.0,0.7046949033044877,1.8618111577309884e-06,1.7781726257222873e-05,1.1997962504109743e-05,2.3206664712217327e-05
39,1629.0,0.6710336928794762,3.5675202619951484e-06,2.630921754296628e-05,1.9120683585293985e-05,2.6795888253125685e-05
40,1714.0,0.6598170622292139,3.675006507669966e-06,2.5490025051215325e-05,1.9540722133294096e-05,2.679588825312572e-05
41,1768.0,0.6495598957685846,3.354456039613701e-06,2.5971455488893008e-05,1.9479219046353566e-05,2.6087467820480426e-05
42,1852.0,0.6495598957685846,3.354456039613701e-06,2.5971455488893008e-05,1.9479219046353566e-05,2.6087467820480426e-05
43,1883.0,0.6495598957685846,3.354456039613701e-06,2.5971455488893008e-05,1.9479219046353566e-05,2.6087467820480426e-05
44,1913.0,0.6176030484121109,3.706121558448559e-06,2.806670615237479e-05,3.0352468828319008e-05,3.298547697795602e-05
45,2038.0,0.6005103184171549,3.7061215584486175e-06,4.010575666585881e-05,3.5326206477688104e-05,4.112170500093954e-05
46,2231.0,0.5622766240848234,3.3874511212943886e-06,4.923560542038003e-05,2.708627658599844e-05,4.5562530762017766e-05
47,2358.0,0.5424845326788441,3.791885981435255e-06,6.805273373521961e-05,3.348265265194406e-05,5.032049026020826e-05
48,2438.0,0.5424845326788441,3.791885981435255e-06,6.805273373521961e-05,3.348265265194406e-05,5.032049026020826e-05
49,2575.0,0.5424845326788441,3.791885981435255e-06,6.805273373521961e-05,3.348265265194406e-05,5.032049026020826e-05
